#MeV,dN/dE. a.u.
192.7072678,-1.04548
193.0836659,1.05496
193.4613736,0.72512
193.840399,-0.44156
194.2207503,-0.4898
194.6024359,-1.70692
194.9854641,-0.19892
195.3698435,0.15432
195.7555824,-2.6824
196.1426896,-1.06036
196.5311738,-1.43152
196.9210436,-0.36156
197.3123078,-1.3728
197.7049755,-2.1072
198.0990555,-2.60312
198.4945568,-3.9396
198.8914887,-3.97204
199.2898601,-3.34228
199.6896806,-3.66244
200.0909592,-1.54652
200.4937055,-0.3628
200.8979289,-0.8772
201.303639,-0.41472
201.7108454,-1.08576
202.1195578,-0.85268
202.529786,-0.556
202.9415398,-0.22024
203.3548291,0.07644
203.7696639,0.27276
204.1860544,-0.42492
204.6040106,-1.2578
205.0235428,-1.86452
205.4446614,-2.17052
205.8673765,-1.95972
206.2916988,-1.7326
206.7176388,-0.31004
207.1452071,-0.46476
207.5744142,-0.64244
208.0052711,-0.67668
208.4377886,-1.83404
208.8719775,-1.37692
209.3078489,-0.4594
209.7454139,0.07504
210.1846836,-0.61628
210.6256692,-1.76332
211.068382,-2.27636
211.5128335,-3.68592
211.959035,-3.45984
212.4069983,-1.5072
212.8567348,2.11232
213.3082563,-0.37488
213.7615745,-1.396
214.2167015,1.35584
214.673649,1.168
215.1324291,1.80592
215.593054,-0.33312
216.0555358,-3.93296
216.5198868,1.136
216.9861194,-0.84224
217.454246,-4.4872
217.9242791,1.7832
218.3962313,1.20416
218.8701154,3.78912
219.345944,0.27952
219.8237301,1.54416
220.3034865,-1.20784
220.7852263,-2.33232
221.2689627,-0.44016
221.7547087,1.76192
222.2424777,-0.05584
222.732283,0.72912
223.2241381,0.1912
223.7180565,-2.4016
224.2140518,0.67264
224.7121378,-1.28256
225.2123282,-0.60912
225.7146369,-1.22416
226.2190779,-0.392
226.7256653,-2.08768
227.2344131,1.24416
227.7453356,-2.63008
228.2584472,-3.22144
228.7737622,-1.14976
229.2912953,-1.09808
229.8110609,3.9208
230.3330737,0.79136
230.8573486,-2.55456
231.3839004,-0.69872
231.9127441,-0.53936
232.4438947,0.79744
232.9773674,1.4928
233.5131775,2.37744
234.0513402,-0.37744
234.5918711,-1.37616
235.1347857,-0.46192
235.6800996,2.56864
236.2278286,4.89984
